source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
ECHO CONGENITAL TRANSTHORACIC COMPLETE (ADULT LAB),SOURCE,43021737,Transthoracic echocardiography for congenital heart disease,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source (2026-09-11).
ECHO CONGENITAL TRANSTHORACIC LIMITED (ADULT LAB),SOURCE,43021737,Transthoracic echocardiography for congenital heart disease,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source (2026-09-11).
JHOC PULMONARY FUNCTION TEST,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
BAYVIEW PULMONARY FUNCTION TESTS,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
PULMONARY FUNCTION TEST RESULTS,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
GSS PULMONARY FUNCTION TESTS,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
PULMONARY FUNCTION TEST,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
JHCP PULMONARY FUNCTION TESTS,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
PULMONARY FUNCTION TESTS - PEDIATRIC,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
PULMONARY FUNCTION TESTS,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
ECHO TRANSTHORACIC W/ AGITATED SALINE COMPLETE (ADULT LAB),SOURCE,37206167,Saline contrast echocardiogram,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: agitated saline is the saline contrast (bubble) study (2026-09-11).
ECHO TRANSTHORACIC W/ AGITATED SALINE LIMITED (ADULT LAB),SOURCE,37206167,Saline contrast echocardiogram,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: agitated saline is the saline contrast (bubble) study (2026-09-11).
GENERIC ORDER/RESULT SCAN - PULMONARY FUNCTION TEST,SOURCE,4300515,Respiratory function,Observation,SNOMED,1,yxx,2026-09-11,"JHU-CTPE pft source: the study's order name. SNOMED 23426006 |Measurement of respiratory function| (synonym: pulmonary function test) is non-standard and the vocabulary maps it to this concept; the domain is Observation, so the publisher routes the row there (2026-09-11)."
