source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
%,UNIT,8554,percent,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM %; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
% SAT,UNIT,8554,percent,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM %; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
mmHg,UNIT,8876,millimeter mercury column,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM mm[Hg]; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
mmol/L,UNIT,8753,millimole per liter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM mmol/L; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
ms,UNIT,9593,millisecond,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM ms; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
pH,UNIT,8482,pH,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM pH; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
seconds,UNIT,8555,second,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM s; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
Thou/mm3,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
thou/uL,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
Thousand/uL,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
x 10E3,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
x10-3/uL,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
x10E3/uL,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
