source_unit,ucum,basis
(60 mg/mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(65 mg iron),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(84)/10 mcg (7),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(morphine),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
*IV~mcg~mL~,,"an unfilled order-entry template, not a unit"
*IV~mL~mL~,,"an unfilled order-entry template, not a unit"
+/-,,"a qualitative marker, not a unit"
-,,an empty cell written as a dash
"-109,000 unit",,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
-12 gram/160 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
"-120,000 unit",,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
-120000 unit,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
-125 unit,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
-200 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
-60000 unit,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
/ 0 Units,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
/0mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
0,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
0.8 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
0/mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
1 mg/mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
100,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
1000ML NS,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
150,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
15000 unit,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
"180,000 unit",,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
180000 unit,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
200,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
250,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
300,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
350,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
400,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
450,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
4ML,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
50,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
50 units/ml,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
500,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
550,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
600,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
60mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
61500 unit,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
___,,a masked cell in the de-identified export
_UNIT,,a placeholder the ordering system writes when no unit was chosen
AERA,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
AERO,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
billion cell,,"a count of cells in a cellular product, not a unit of measure"
bo,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
BTL,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
BU,,"Bethesda unit, the factor inhibitor titre; no UCUM code exists for it"
BULK,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
CADD,,"the brand of the ambulatory infusion pump, not a unit"
CART,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
cell,,"a count of cells in a cellular product, not a unit of measure"
chamber,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
cmH2O/L/seconds,cm[H2O]/(L/s),"centimetre of water per litre per second, the airway resistance; the OMOP UCUM bundle carries no concept for it"
CON,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
CONC,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
cp,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
cps,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
CPT,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
CRE,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
CREA,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
DBTL,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
DEV,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
Dosing by Pharmacy,,an instruction to the pharmacy where a unit belongs
drop ou,,"a drop given in both eyes: a form with a route, not a unit"
DRP,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
dynes*sec/cm5,dyn.s/cm5,"dyne second per centimetre to the fifth, the vascular resistance; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
dynes*sec/cm5/m2,dyn.s/cm5/m2,"the same, indexed to body surface area"
dynes.sec.cm-5/m2,dyn.s/cm5/m2,"the same, spelled with the exponent written out"
ELIX,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
ENE,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
ERT,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
EU/dL,,"Ehrlich unit per decilitre, the urobilinogen unit; no UCUM code exists for it"
Floor Stock Bag,,a dispensing location written where a unit belongs
g/1L NS,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
g\ 0 g,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
GEL,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
gg,,two grams run together by a data-entry slip; the dose cannot be read from it
gmgm,,two gram abbreviations run together; see gg
GPL,,"IgG phospholipid unit, an assay-specific unit with no UCUM code"
GR,g,"gram, upper case"
gram/100 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
gram/118 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
gram/30 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
gram/59 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
grams/min,g/min,"gram per minute, spelled out; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
gummies,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
INJ,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
insp/min,/min,"inspirations per minute: a respiratory rate, whose UCUM form is a plain per-minute"
iu/0iu,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
JAR,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
L/min/m2,L/min/m2,"litre per minute per square metre, the cardiac index"
LIQ,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
log10 cop/mL,,a base-ten logarithm of a copy number; see log10 IU/mL
log10 copies/mL,,a base-ten logarithm of a copy number; see log10 IU/mL
log10 IU/mL,,a base-ten logarithm of a concentration; UCUM has no unit for a logged quantity and normalizing it as if it were linear would be wrong by orders of magnitude
LOT,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
LOZ,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
mA,mA,"milliampere, a pacing output"
mcg'ml-mg/ml,,a mangled combination of four unit abbreviations
mcg-mg/mL,,two units hyphenated over a volume; see mg-mcg
mcg/ kg/ hr,ug/kg/h,"microgram per kilogram per hour, with stray spaces"
mcg/0.5,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mcg/2 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mcg/actuation,ug/{actuat},microgram per actuation of an inhaler
mcg/dose,ug/{dose},"microgram per dose; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
mcg/spray,ug/{spray},"microgram per spray; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
mcg\ 0 mcg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mcg\150mcg\250mcg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mch/kg/min,,a mistyping of mcg/kg/min; no unit is written here
mcq,,a mistyping of mcg; no unit is written here
MD to order daily dose,,an instruction to the prescriber where a unit belongs
mEq / 100 mL SW,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq / 250 mL D5W,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq / 250 mL NS,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq / 500 mL D5W,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq / 500 mL NS,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq / hr,10*-3.eq/h,"milliequivalent per hour, with spaces; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
mEq in 1L,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq.,10*-3.eq,"milliequivalent, with a trailing full stop"
mEq./hour,10*-3.eq/h,"milliequivalent per hour, with a full stop; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
mEq/100 mL SW,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq/15 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEq/200 mL NS,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mEqmEq,,two milliequivalent abbreviations run together; see gg
mg (1 mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg (950 mg),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg / 0 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg /40 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg base)/3 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg ER,mg,"milligram; ER names the release profile of the product, not the unit"
mg or 92mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg-35 mcg (28),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg-mcg,,"two units hyphenated, for a combination product; neither can be assigned to the one dose recorded"
mg-mg,,two units hyphenated; see mg-mcg
mg-mg-mcg-mg,,four units hyphenated; see mg-mcg
mg/ 0 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg//min,,"milligram per minute with a doubled slash; corrected it would be a rate, but a unit is not something to correct by guess"
mg/0 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/0.3 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/0.5 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/0.67 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/0.6mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/0mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/0mgs,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/100 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/100mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/15 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/2 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/2.625 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/20 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/24 hour,mg/(24.h),"milligram per 24 hours, spelled out"
mg/250 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/3 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/40mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/5,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/5 mL,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/5 mL (5 mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/50 ml,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/500 ml,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/54mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/6 mL (6 mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/61mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/960mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/actuation,mg/{actuat},milligram per actuation of an inhaler
mg/dose,mg/{dose},"milligram per dose; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
mg/mL (1 %),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/mL (2 %),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/mL (4 %),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg/omg,,a milligram over a mistyped milligram
mg\ 0 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg\ 150 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg\ 40mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg\100 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg\40 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mg\960 mg,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
mgmg,,two milligram abbreviations run together; see gg
mgs/min,mg/min,"milligram per minute, pluralised"
MILLI UNITS/MIN,10*-3.[iU]/min,"milli-unit per minute, the oxytocin rate; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
mL SC,,"millilitres given subcutaneously: the route is not part of the unit, and no UCUM code carries one"
mL/beat,mL/{beat},"millilitre per beat, the stroke volume; valid UCUM, but the OMOP UCUM vocabulary carries no concept for it"
mL/Lumen,mL,"millilitre, per lumen of a multi-lumen line; the lumen is not a unit"
mL/min/m2,mL/min/m2,millilitre per minute per square metre
mL/Syringe,mL,"millilitre, per syringe; the syringe is a container, not a unit"
mmHg.,mm[Hg],"millimetre of mercury, with a stray full stop"
MPL,,"IgM phospholipid unit, an assay-specific unit with no UCUM code"
MU,10*6.[iU],"million units, abbreviated"
N/A,,the source's placeholder for a result that has no unit
nanograms/kg/minute,ng/kg/min,nanogram per kilogram per minute
Neb,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
NG/,,a fragment of the nasogastric route written where a unit belongs
Notify,,a workflow instruction written where a unit belongs
OINT,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
PE (Phenytoin Sodium Equivalent),,"the same, spelled out"
Pick Option Below,,an unfilled order-entry prompt
pills,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
PKG,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
Pos/Neg,,"a qualitative marker, not a unit"
powder,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
PPN Bag,,"a bag of peripheral parenteral nutrition: a container, not a unit of measure"
PTCH,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
PTCHS,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
PWDR,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
SBTL,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
scp,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
sheet,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
soak,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
SOLN,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
spacer,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
SPG,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
SPRY,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
STCK,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
STRP,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
SUSP,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
SYR,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
SYRP,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
TC,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
tiwst,,a data-entry slip with no unit in it
TPN Bag,,"a bag of parenteral nutrition: a container, not a unit of measure"
TRMT,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
TROC,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
U/g/Hb,U/g{HGB},enzyme unit per gram of haemoglobin
UDCUP,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
Umits,[iU],"unit, misspelled"
unit-mg-unit,,three units hyphenated; see mg-mcg
UNIT/1000ML,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
unit/gram,[iU]/g,unit per gram
unit/hour,[iU]/h,"unit per hour, singular"
Units Humalog,,insulin units qualified by the brand given; the brand is not part of the unit
Units Insulin 70 / 30,,insulin units qualified by the preparation; see Units Humalog
Units Insulin Glargine,,insulin units qualified by the preparation; see Units Humalog
Units Insulin NPH,,insulin units qualified by the preparation; see Units Humalog
Units Regular,,insulin units qualified by the preparation; see Units Humalog
Units VWF:RCo,,"von Willebrand factor ristocetin cofactor units, specific to one assay"
Units/Liter,[iU]/L,unit per litre
units\ 0 units,,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
WAF,,"dosage form, not a unit of measure: it counts the things handed over rather than the quantity of drug in them"
