source_unit,ucum,basis
cubic millimetre,mm3,UCUM case-sensitive code: cubic millimetre; converted to uL by unit_conversions.csv
U,[U],"UCUM case-sensitive code: unit; the source does not say international, so [U] rather than [iU]"
units,[U],"UCUM case-sensitive code: unit; the source does not say international, so [U] rather than [iU]"
unit,[U],"UCUM case-sensitive code: unit; the source does not say international, so [U] rather than [iU]"
IU,[iU],UCUM case-sensitive code: international unit ([IU] is the case-insensitive form)
[IU],[iU],UCUM case-sensitive code: international unit ([IU] is the case-insensitive form)
international unit,[iU],UCUM case-sensitive code: international unit ([IU] is the case-insensitive form)
international units,[iU],UCUM case-sensitive code: international unit ([IU] is the case-insensitive form)
intl units,[iU],UCUM case-sensitive code: international unit ([IU] is the case-insensitive form)
mIU,m[iU],UCUM case-sensitive code: milli-international unit
milli-international unit,m[iU],UCUM case-sensitive code: milli-international unit
U/L,[U]/L,UCUM case-sensitive code: unit per litre (enzyme activity)
units/L,[U]/L,UCUM case-sensitive code: unit per litre (enzyme activity)
unit/L,[U]/L,UCUM case-sensitive code: unit per litre (enzyme activity)
U/mL,[U]/mL,UCUM case-sensitive code: unit per millilitre
units/mL,[U]/mL,UCUM case-sensitive code: unit per millilitre
unit/mL,[U]/mL,UCUM case-sensitive code: unit per millilitre
IU/L,[iU]/L,UCUM case-sensitive code: international unit per litre
[IU]/L,[iU]/L,UCUM case-sensitive code: international unit per litre
IU/mL,[iU]/mL,UCUM case-sensitive code: international unit per millilitre
[IU]/mL,[iU]/mL,UCUM case-sensitive code: international unit per millilitre
mU/mL,m[U]/mL,UCUM case-sensitive code: milliunit per millilitre
milliunits/mL,m[U]/mL,UCUM case-sensitive code: milliunit per millilitre
mU/L,m[U]/L,UCUM case-sensitive code: milliunit per litre
milliunits/L,m[U]/L,UCUM case-sensitive code: milliunit per litre
uU/mL,u[U]/mL,UCUM case-sensitive code: microunit per millilitre
µU/mL,u[U]/mL,UCUM case-sensitive code: microunit per millilitre
mcU/mL,u[U]/mL,UCUM case-sensitive code: microunit per millilitre
mIU/mL,m[iU]/mL,UCUM case-sensitive code: milli-international unit per millilitre
m[IU]/mL,m[iU]/mL,UCUM case-sensitive code: milli-international unit per millilitre
mIU/L,m[iU]/L,UCUM case-sensitive code: milli-international unit per litre
m[IU]/L,m[iU]/L,UCUM case-sensitive code: milli-international unit per litre
uIU/mL,u[iU]/mL,UCUM case-sensitive code: micro-international unit per millilitre
µIU/mL,u[iU]/mL,UCUM case-sensitive code: micro-international unit per millilitre
mcIU/mL,u[iU]/mL,UCUM case-sensitive code: micro-international unit per millilitre
u[IU]/mL,u[iU]/mL,UCUM case-sensitive code: micro-international unit per millilitre
kIU/L,k[iU]/L,UCUM case-sensitive code: kilo-international unit per litre
kU/L,k[iU]/L,UCUM case-sensitive code: kilo-international unit per litre
units/hr,[U]/h,"UCUM case-sensitive code: unit per hour (heparin, insulin infusions)"
U/hr,[U]/h,"UCUM case-sensitive code: unit per hour (heparin, insulin infusions)"
units/h,[U]/h,"UCUM case-sensitive code: unit per hour (heparin, insulin infusions)"
U/h,[U]/h,"UCUM case-sensitive code: unit per hour (heparin, insulin infusions)"
unit/hr,[U]/h,"UCUM case-sensitive code: unit per hour (heparin, insulin infusions)"
units/hour,[U]/h,"UCUM case-sensitive code: unit per hour (heparin, insulin infusions)"
units/min,[U]/min,UCUM case-sensitive code: unit per minute
U/min,[U]/min,UCUM case-sensitive code: unit per minute
unit/min,[U]/min,UCUM case-sensitive code: unit per minute
units/kg,[U]/kg,UCUM case-sensitive code: unit per kilogram
U/kg,[U]/kg,UCUM case-sensitive code: unit per kilogram
unit/kg,[U]/kg,UCUM case-sensitive code: unit per kilogram
units/kg/hr,[U]/kg/h,UCUM case-sensitive code: unit per kilogram per hour (weight-based heparin)
U/kg/hr,[U]/kg/h,UCUM case-sensitive code: unit per kilogram per hour (weight-based heparin)
units/kg/h,[U]/kg/h,UCUM case-sensitive code: unit per kilogram per hour (weight-based heparin)
U/kg/h,[U]/kg/h,UCUM case-sensitive code: unit per kilogram per hour (weight-based heparin)
unit/kg/hr,[U]/kg/h,UCUM case-sensitive code: unit per kilogram per hour (weight-based heparin)
units/kg/hour,[U]/kg/h,UCUM case-sensitive code: unit per kilogram per hour (weight-based heparin)
units/kg/min,[U]/kg/min,UCUM case-sensitive code: unit per kilogram per minute
U/kg/min,[U]/kg/min,UCUM case-sensitive code: unit per kilogram per minute
IU/kg,[iU]/kg,UCUM case-sensitive code: international unit per kilogram
[IU]/kg,[iU]/kg,UCUM case-sensitive code: international unit per kilogram
IU/hr,[iU]/h,UCUM case-sensitive code: international unit per hour
IU/h,[iU]/h,UCUM case-sensitive code: international unit per hour
AU,[arb'U],UCUM case-sensitive code: arbitrary unit
arb U,[arb'U],UCUM case-sensitive code: arbitrary unit
arbitrary units,[arb'U],UCUM case-sensitive code: arbitrary unit
arbitrary unit,[arb'U],UCUM case-sensitive code: arbitrary unit
AU/mL,[arb'U]/mL,UCUM case-sensitive code: arbitrary unit per millilitre
arb U/mL,[arb'U]/mL,UCUM case-sensitive code: arbitrary unit per millilitre
arbitrary units/mL,[arb'U]/mL,UCUM case-sensitive code: arbitrary unit per millilitre
mEq,meq,UCUM case-sensitive code: milliequivalent; OMOP's UCUM vocabulary spells it 10*-3.eq
milliequivalent,meq,UCUM case-sensitive code: milliequivalent; OMOP's UCUM vocabulary spells it 10*-3.eq
milliequivalents,meq,UCUM case-sensitive code: milliequivalent; OMOP's UCUM vocabulary spells it 10*-3.eq
mEq/L,10*-3.eq/L,"UCUM case-sensitive code: milliequivalent per litre; OMOP's UCUM vocabulary spells it 10*-3.eq/L; reconciled 2026-09-14 with reference/units/ctpe.csv: this is the spelling OMOP's UCUM vocabulary carries a concept for, and a unit that resolves to no concept normalizes to nothing downstream"
milliequivalents/L,meq/L,UCUM case-sensitive code: milliequivalent per litre; OMOP's UCUM vocabulary spells it 10*-3.eq/L
meq/liter,meq/L,UCUM case-sensitive code: milliequivalent per litre; OMOP's UCUM vocabulary spells it 10*-3.eq/L
mEq/hr,meq/h,UCUM case-sensitive code: milliequivalent per hour
mEq/h,meq/h,UCUM case-sensitive code: milliequivalent per hour
meq/hour,meq/h,UCUM case-sensitive code: milliequivalent per hour
mEq/kg,meq/kg,UCUM case-sensitive code: milliequivalent per kilogram
mEq/24h,meq/(24.h),UCUM case-sensitive code: milliequivalent per 24 hours
mEq/24 h,meq/(24.h),UCUM case-sensitive code: milliequivalent per 24 hours
mEq/24hr,meq/(24.h),UCUM case-sensitive code: milliequivalent per 24 hours
mEq/24 hr,meq/(24.h),UCUM case-sensitive code: milliequivalent per 24 hours
mmol,mmol,UCUM case-sensitive code: millimole
millimole,mmol,UCUM case-sensitive code: millimole
millimoles,mmol,UCUM case-sensitive code: millimole
umol,umol,UCUM case-sensitive code: micromole
µmol,umol,UCUM case-sensitive code: micromole
mcmol,umol,UCUM case-sensitive code: micromole
micromole,umol,UCUM case-sensitive code: micromole
nmol,nmol,UCUM case-sensitive code: nanomole
nanomole,nmol,UCUM case-sensitive code: nanomole
mol/L,mol/L,UCUM case-sensitive code: mole per litre
mmol/L,mmol/L,UCUM case-sensitive code: millimole per litre
mmol/liter,mmol/L,UCUM case-sensitive code: millimole per litre
millimole/L,mmol/L,UCUM case-sensitive code: millimole per litre
millimoles/L,mmol/L,UCUM case-sensitive code: millimole per litre
umol/L,umol/L,UCUM case-sensitive code: micromole per litre
µmol/L,umol/L,UCUM case-sensitive code: micromole per litre
μmol/L,umol/L,UCUM case-sensitive code: micromole per litre
mcmol/L,umol/L,UCUM case-sensitive code: micromole per litre
micromole/L,umol/L,UCUM case-sensitive code: micromole per litre
nmol/L,nmol/L,UCUM case-sensitive code: nanomole per litre
nanomole/L,nmol/L,UCUM case-sensitive code: nanomole per litre
pmol/L,pmol/L,UCUM case-sensitive code: picomole per litre
picomole/L,pmol/L,UCUM case-sensitive code: picomole per litre
fmol/L,fmol/L,UCUM case-sensitive code: femtomole per litre
nmol/mL,nmol/mL,UCUM case-sensitive code: nanomole per millilitre
umol/mL,umol/mL,UCUM case-sensitive code: micromole per millilitre
µmol/mL,umol/mL,UCUM case-sensitive code: micromole per millilitre
mmol/mL,mmol/mL,UCUM case-sensitive code: millimole per millilitre
mmol/kg,mmol/kg,UCUM case-sensitive code: millimole per kilogram
mmol/mol,mmol/mol,"UCUM case-sensitive code: millimole per mole (HbA1c, IFCC)"
mmol/g,mmol/g,UCUM case-sensitive code: millimole per gram
umol/g,umol/g,UCUM case-sensitive code: micromole per gram
µmol/g,umol/g,UCUM case-sensitive code: micromole per gram
mmol/hr,mmol/h,UCUM case-sensitive code: millimole per hour
mmol/h,mmol/h,UCUM case-sensitive code: millimole per hour
mmol/24h,mmol/(24.h),UCUM case-sensitive code: millimole per 24 hours
mmol/24 h,mmol/(24.h),UCUM case-sensitive code: millimole per 24 hours
mmol/24hr,mmol/(24.h),UCUM case-sensitive code: millimole per 24 hours
mmol/24 hr,mmol/(24.h),UCUM case-sensitive code: millimole per 24 hours
mmol/day,mmol/d,UCUM case-sensitive code: millimole per day
mmol/d,mmol/d,UCUM case-sensitive code: millimole per day
umol/24h,umol/(24.h),UCUM case-sensitive code: micromole per 24 hours
umol/24 h,umol/(24.h),UCUM case-sensitive code: micromole per 24 hours
µmol/24h,umol/(24.h),UCUM case-sensitive code: micromole per 24 hours
umol/day,umol/d,UCUM case-sensitive code: micromole per day
umol/d,umol/d,UCUM case-sensitive code: micromole per day
mg/dL,mg/dL,UCUM case-sensitive code: milligram per decilitre
mg/deciliter,mg/dL,UCUM case-sensitive code: milligram per decilitre
mg per dL,mg/dL,UCUM case-sensitive code: milligram per decilitre
mg%,mg/dL,UCUM case-sensitive code: milligram per decilitre
g/dL,g/dL,UCUM case-sensitive code: gram per decilitre
gm/dL,g/dL,UCUM case-sensitive code: gram per decilitre
g%,g/dL,UCUM case-sensitive code: gram per decilitre
gm%,g/dL,UCUM case-sensitive code: gram per decilitre
g/L,g/L,UCUM case-sensitive code: gram per litre
gm/L,g/L,UCUM case-sensitive code: gram per litre
grams/L,g/L,UCUM case-sensitive code: gram per litre
mg/L,mg/L,UCUM case-sensitive code: milligram per litre
mg/liter,mg/L,UCUM case-sensitive code: milligram per litre
ug/L,ug/L,UCUM case-sensitive code: microgram per litre
mcg/L,ug/L,UCUM case-sensitive code: microgram per litre
µg/L,ug/L,UCUM case-sensitive code: microgram per litre
μg/L,ug/L,UCUM case-sensitive code: microgram per litre
ng/L,ng/L,UCUM case-sensitive code: nanogram per litre
ng/mL,ng/mL,UCUM case-sensitive code: nanogram per millilitre
nanogram/mL,ng/mL,UCUM case-sensitive code: nanogram per millilitre
nanograms/mL,ng/mL,UCUM case-sensitive code: nanogram per millilitre
ug/mL,ug/mL,UCUM case-sensitive code: microgram per millilitre
mcg/mL,ug/mL,UCUM case-sensitive code: microgram per millilitre
µg/mL,ug/mL,UCUM case-sensitive code: microgram per millilitre
μg/mL,ug/mL,UCUM case-sensitive code: microgram per millilitre
microgram/mL,ug/mL,UCUM case-sensitive code: microgram per millilitre
micrograms/mL,ug/mL,UCUM case-sensitive code: microgram per millilitre
ug/dL,ug/dL,UCUM case-sensitive code: microgram per decilitre
mcg/dL,ug/dL,UCUM case-sensitive code: microgram per decilitre
µg/dL,ug/dL,UCUM case-sensitive code: microgram per decilitre
μg/dL,ug/dL,UCUM case-sensitive code: microgram per decilitre
ng/dL,ng/dL,UCUM case-sensitive code: nanogram per decilitre
pg/mL,pg/mL,UCUM case-sensitive code: picogram per millilitre
picogram/mL,pg/mL,UCUM case-sensitive code: picogram per millilitre
pg/dL,pg/dL,UCUM case-sensitive code: picogram per decilitre
mg/mL,mg/mL,UCUM case-sensitive code: milligram per millilitre
g/mL,g/mL,UCUM case-sensitive code: gram per millilitre
ug/uL,ug/uL,UCUM case-sensitive code: microgram per microlitre
mcg/uL,ug/uL,UCUM case-sensitive code: microgram per microlitre
µg/µL,ug/uL,UCUM case-sensitive code: microgram per microlitre
ng/uL,ng/uL,UCUM case-sensitive code: nanogram per microlitre
ng/µL,ng/uL,UCUM case-sensitive code: nanogram per microlitre
ng/mL FEU,ng/mL{FEU},"UCUM case-sensitive code: nanogram per millilitre, fibrinogen-equivalent units; OMOP's UCUM vocabulary spells it ng{FEU}/mL"
ng/mL{FEU},ng/mL{FEU},"UCUM case-sensitive code: nanogram per millilitre, fibrinogen-equivalent units; OMOP's UCUM vocabulary spells it ng{FEU}/mL"
ng FEU/mL,ng/mL{FEU},"UCUM case-sensitive code: nanogram per millilitre, fibrinogen-equivalent units; OMOP's UCUM vocabulary spells it ng{FEU}/mL"
ng/mL (FEU),ng/mL{FEU},"UCUM case-sensitive code: nanogram per millilitre, fibrinogen-equivalent units; OMOP's UCUM vocabulary spells it ng{FEU}/mL"
ug/mL FEU,ug/mL{FEU},"UCUM case-sensitive code: microgram per millilitre, fibrinogen-equivalent units"
mcg/mL FEU,ug/mL{FEU},"UCUM case-sensitive code: microgram per millilitre, fibrinogen-equivalent units"
µg/mL FEU,ug/mL{FEU},"UCUM case-sensitive code: microgram per millilitre, fibrinogen-equivalent units"
ug/mL{FEU},ug/mL{FEU},"UCUM case-sensitive code: microgram per millilitre, fibrinogen-equivalent units"
ug FEU/mL,ug/mL{FEU},"UCUM case-sensitive code: microgram per millilitre, fibrinogen-equivalent units"
mcg/mL (FEU),ug/mL{FEU},"UCUM case-sensitive code: microgram per millilitre, fibrinogen-equivalent units"
ug/mL (FEU),ug/mL{FEU},"UCUM case-sensitive code: microgram per millilitre, fibrinogen-equivalent units"
mg/L FEU,mg/L{FEU},"UCUM case-sensitive code: milligram per litre, fibrinogen-equivalent units; OMOP's UCUM vocabulary spells it mg{FEU}/L"
mg/L{FEU},mg/L{FEU},"UCUM case-sensitive code: milligram per litre, fibrinogen-equivalent units; OMOP's UCUM vocabulary spells it mg{FEU}/L"
mg FEU/L,mg/L{FEU},"UCUM case-sensitive code: milligram per litre, fibrinogen-equivalent units; OMOP's UCUM vocabulary spells it mg{FEU}/L"
ng/mL DDU,ng/mL{DDU},"UCUM case-sensitive code: nanogram per millilitre, D-dimer units (not convertible to FEU)"
ng/mL{DDU},ng/mL{DDU},"UCUM case-sensitive code: nanogram per millilitre, D-dimer units (not convertible to FEU)"
ng DDU/mL,ng/mL{DDU},"UCUM case-sensitive code: nanogram per millilitre, D-dimer units (not convertible to FEU)"
ug/mL DDU,ug/mL{DDU},"UCUM case-sensitive code: microgram per millilitre, D-dimer units"
mcg/mL DDU,ug/mL{DDU},"UCUM case-sensitive code: microgram per millilitre, D-dimer units"
ug/mL{DDU},ug/mL{DDU},"UCUM case-sensitive code: microgram per millilitre, D-dimer units"
mg/g,mg/g,UCUM case-sensitive code: milligram per gram (urine albumin/creatinine)
mg/g creat,mg/g,UCUM case-sensitive code: milligram per gram (urine albumin/creatinine)
mg/g creatinine,mg/g,UCUM case-sensitive code: milligram per gram (urine albumin/creatinine)
ug/g,ug/g,UCUM case-sensitive code: microgram per gram
mcg/g,ug/g,UCUM case-sensitive code: microgram per gram
µg/g,ug/g,UCUM case-sensitive code: microgram per gram
ng/g,ng/g,UCUM case-sensitive code: nanogram per gram
g/g,g/g,UCUM case-sensitive code: gram per gram
mg/mg,mg/mg,UCUM case-sensitive code: milligram per milligram
mg/mmol,mg/mmol,UCUM case-sensitive code: milligram per millimole
ug/mmol,ug/mmol,UCUM case-sensitive code: microgram per millimole
mcg/mmol,ug/mmol,UCUM case-sensitive code: microgram per millimole
mg/kg,mg/kg,UCUM case-sensitive code: milligram per kilogram (weight-based dose)
mg per kg,mg/kg,UCUM case-sensitive code: milligram per kilogram (weight-based dose)
mcg/kg,ug/kg,UCUM case-sensitive code: microgram per kilogram
ug/kg,ug/kg,UCUM case-sensitive code: microgram per kilogram
µg/kg,ug/kg,UCUM case-sensitive code: microgram per kilogram
mg/m2,mg/m2,UCUM case-sensitive code: milligram per square metre (body-surface dose)
mg/m^2,mg/m2,UCUM case-sensitive code: milligram per square metre (body-surface dose)
mg/m²,mg/m2,UCUM case-sensitive code: milligram per square metre (body-surface dose)
g/kg,g/kg,UCUM case-sensitive code: gram per kilogram
gm/kg,g/kg,UCUM case-sensitive code: gram per kilogram
mL/kg,mL/kg,UCUM case-sensitive code: millilitre per kilogram
ml per kg,mL/kg,UCUM case-sensitive code: millilitre per kilogram
mg/24h,mg/(24.h),UCUM case-sensitive code: milligram per 24 hours
mg/24 h,mg/(24.h),UCUM case-sensitive code: milligram per 24 hours
mg/24hr,mg/(24.h),UCUM case-sensitive code: milligram per 24 hours
mg/24 hr,mg/(24.h),UCUM case-sensitive code: milligram per 24 hours
mg/24 hrs,mg/(24.h),UCUM case-sensitive code: milligram per 24 hours
mg/day,mg/d,UCUM case-sensitive code: milligram per day
mg/d,mg/d,UCUM case-sensitive code: milligram per day
g/24h,g/(24.h),UCUM case-sensitive code: gram per 24 hours
g/24 h,g/(24.h),UCUM case-sensitive code: gram per 24 hours
g/24hr,g/(24.h),UCUM case-sensitive code: gram per 24 hours
g/24 hr,g/(24.h),UCUM case-sensitive code: gram per 24 hours
gm/24h,g/(24.h),UCUM case-sensitive code: gram per 24 hours
g/day,g/d,UCUM case-sensitive code: gram per day
g/d,g/d,UCUM case-sensitive code: gram per day
mL/24h,mL/(24.h),UCUM case-sensitive code: millilitre per 24 hours
mL/24 h,mL/(24.h),UCUM case-sensitive code: millilitre per 24 hours
mL/24hr,mL/(24.h),UCUM case-sensitive code: millilitre per 24 hours
mL/24 hr,mL/(24.h),UCUM case-sensitive code: millilitre per 24 hours
mL/day,mL/d,UCUM case-sensitive code: millilitre per day
mL/d,mL/d,UCUM case-sensitive code: millilitre per day
L/24h,L/(24.h),UCUM case-sensitive code: litre per 24 hours
L/24 h,L/(24.h),UCUM case-sensitive code: litre per 24 hours
L/24hr,L/(24.h),UCUM case-sensitive code: litre per 24 hours
L/day,L/d,UCUM case-sensitive code: litre per day
L/d,L/d,UCUM case-sensitive code: litre per day
ng/mL/hr,ng/mL/h,UCUM case-sensitive code: nanogram per millilitre per hour (renin)
ng/mL/h,ng/mL/h,UCUM case-sensitive code: nanogram per millilitre per hour (renin)
copies/mL,{copies}/mL,UCUM case-sensitive code: copies per millilitre (viral load)
cp/mL,{copies}/mL,UCUM case-sensitive code: copies per millilitre (viral load)
copies per mL,{copies}/mL,UCUM case-sensitive code: copies per millilitre (viral load)
%,%,UCUM case-sensitive code: percent
percent,%,UCUM case-sensitive code: percent
pct,%,UCUM case-sensitive code: percent
perc,%,UCUM case-sensitive code: percent
% of total,%,UCUM case-sensitive code: percent
ratio,{ratio},UCUM case-sensitive code annotation: ratio
INR,{INR},UCUM case-sensitive code annotation: international normalized ratio
titer,{titer},UCUM case-sensitive code annotation: titre
titre,{titer},UCUM case-sensitive code annotation: titre
index,{index},UCUM case-sensitive code annotation: index value
index value,{index},UCUM case-sensitive code annotation: index value
score,{score},UCUM case-sensitive code annotation: score; OMOP's UCUM vocabulary spells it [score]
points,{score},UCUM case-sensitive code annotation: score; OMOP's UCUM vocabulary spells it [score]
pts,{score},UCUM case-sensitive code annotation: score; OMOP's UCUM vocabulary spells it [score]
point,{score},UCUM case-sensitive code annotation: score; OMOP's UCUM vocabulary spells it [score]
pH,pH,"UCUM case-sensitive code: pH; OMOP's UCUM vocabulary spells it pH; reconciled 2026-09-14 with reference/units/ctpe.csv: this is the spelling OMOP's UCUM vocabulary carries a concept for, and a unit that resolves to no concept normalizes to nothing downstream"
pH units,[pH],UCUM case-sensitive code: pH; OMOP's UCUM vocabulary spells it pH
pH unit,[pH],UCUM case-sensitive code: pH; OMOP's UCUM vocabulary spells it pH
mL/dL,mL/dL,UCUM case-sensitive code: millilitre per decilitre (volume percent)
vol%,mL/dL,UCUM case-sensitive code: millilitre per decilitre (volume percent)
vol %,mL/dL,UCUM case-sensitive code: millilitre per decilitre (volume percent)
L/L,L/L,UCUM case-sensitive code: litre per litre (haematocrit as a fraction)
mL/L,mL/L,UCUM case-sensitive code: millilitre per litre
mmol/mmol,mmol/mmol,UCUM case-sensitive code: millimole per millimole
ppm,[ppm],UCUM case-sensitive code: parts per million
parts per million,[ppm],UCUM case-sensitive code: parts per million
ppb,[ppb],UCUM case-sensitive code: parts per billion
parts per billion,[ppb],UCUM case-sensitive code: parts per billion
count,{count},UCUM case-sensitive code annotation: a count
counts,{count},UCUM case-sensitive code annotation: a count
#,{count},UCUM case-sensitive code annotation: a count
number,{count},UCUM case-sensitive code annotation: a count
cells,{cells},UCUM case-sensitive code annotation: cells
K/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
K/µL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
K/μL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
K/mcL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
x10^3/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
10^3/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
10*3/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
x10E3/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
10E3/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
thou/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
thousand/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
x10(3)/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
10^3/µL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
x10^3/µL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
th/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
x1000/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
1000/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
kilo/uL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
10*3/µL,10*3/uL,UCUM case-sensitive code: thousand per microlitre
K/cu mm,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
K/cumm,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
K/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
K/mm^3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
10^3/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
x10^3/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
