source_unit,ucum,basis
mcg/kg/hr,ug/kg/h,microgram per kilogram per hour; UCUM concept 9690
g/kg/dose,g/kg/{dose},weight-based gram dose per dose
lozenge,{lozenge},count of lozenges; no UCUM concept
Units/kg/dose,[U]/kg/{dose},units per kilogram per dose
application,[App],count of topical applications (also Application); UCUM concept 45891000
mg/min,mg/min,milligram per minute; UCUM concept 44777611
mcg/kg/dose,ug/kg/{dose},microgram per kilogram per dose
each,{each},count of items; no UCUM concept
milli curie/kg,mCi/kg,radioactivity per kilogram
ampule,{ampule},count of ampules; no UCUM concept
Units/min,[U]/min,units per minute
mg/kg/hr,mg/kg/h,milligram per kilogram per hour; UCUM concept 9691
milli-units/min,10*-3.[U]/min,milliunits per minute (oxytocin infusions)
enema,{enema},count of enemas; no UCUM concept
mcg/min,ug/min,microgram per minute; UCUM concept 8774
strip,{strip},count of strips; no UCUM concept
mg of trimethoprim,mg{trimethoprim},milligrams of the named component of a combination product
Million Units,10*6.[U],million units (penicillins); UCUM concept 9689
applicator,{applicator},count of applicators; no UCUM concept
Stick,{stick},count of sticks; no UCUM concept
Applicatorful,{applicatorful},count of applicatorfuls; no UCUM concept
g/hr,g/h,gram per hour; UCUM concept 44777594
vial,{vial},count of vials; no UCUM concept
mL/kg/hr,mL/kg/h,millilitre per kilogram per hour
RCof,{RCof},ristocetin cofactor units (von Willebrand factor concentrates)
mg of elemental iron,mg{elemental_iron},milligrams of the elemental component
suppository,{suppository},count of suppositories; no UCUM concept
inch,[in_i],inches of ointment; UCUM concept 9327
mL/m2/hr,mL/m2/h,millilitre per square metre per hour
RCof/kg/dose,{RCof}/kg/{dose},ristocetin cofactor units per kilogram per dose
Dose,{dose},count of doses
Wafer,{wafer},count of wafers; no UCUM concept
mg/kg/24hr of trimethoprim,mg{trimethoprim}/kg/(24.h),component milligrams per kilogram per day
mg/kg/dose of trimethoprim,mg{trimethoprim}/kg/{dose},component milligrams per kilogram per dose
L/min,L/min,litre per minute (oxygen); UCUM concept 8698
Syringe,{syringe},count of syringes; no UCUM concept
mEq/kg/dose,10*-3.eq/kg/{dose},milliequivalent per kilogram per dose
teaspoon,[tsp_us],teaspoon; UCUM concept 9416
kit,{kit},count of kits; no UCUM concept
g/m2/dose,g/m2/{dose},gram per square metre per dose
mg/kg/24hr,mg/kg/(24.h),milligram per kilogram per day
mmol/kg/dose,mmol/kg/{dose},millimole per kilogram per dose
Int'l Units,[iU],"international units (also Int'l Units/day, /min, /L, /kg/dose below); UCUM concept 8718"
mg PE/kg/dose,mg{PE}/kg/{dose},phenytoin-equivalent milligrams per kilogram per dose (fosphenytoin)
Film,{film},count of oral films; no UCUM concept
L/hr,L/h,litre per hour; UCUM concept 44777603
nanograms/kg/min,ng/kg/min,nanogram per kilogram per minute; UCUM concept 720839
mL/kg/24hr,mL/kg/(24.h),millilitre per kilogram per day; UCUM concept 33014
Bottle,{bottle},count of bottles; no UCUM concept
Inhaler,{inhaler},count of inhalers; no UCUM concept
pen,{pen},count of injector pens (also Pen); no UCUM concept
mg/kg/dose of piperacillin,mg{piperacillin}/kg/{dose},component milligrams per kilogram per dose
Can,{can},count of cans; no UCUM concept
Units/m2/dose,[U]/m2/{dose},units per square metre per dose
mg of elemental calcium,mg{elemental_calcium},milligrams of the elemental component
units of lipase,[U]{lipase},lipase units of a pancreatic enzyme product
Device,{device},count of devices; no UCUM concept
micro curie,uCi,radioactivity (also microcurie); no UCUM concept in the vocabulary for the microcurie
mg/kg/hr PCA,mg/kg/h,"milligram per kilogram per hour; PCA names the pump mode, not a unit"
mg of amoxicillin,mg{amoxicillin},milligrams of the named component
mg/m2/24hr,mg/m2/(24.h),milligram per square metre per day
Bag,{bag},count of bags; no UCUM concept
Billion CFU,10*9.[CFU],colony-forming units in billions (probiotics)
Tube,{tube},count of tubes; no UCUM concept
half-tab,{half-tab},"count of half tablets: the split, not a tablet"
mg/kg/dose of elemental iron,mg{elemental_iron}/kg/{dose},elemental milligrams per kilogram per dose
mg of ampicillin,mg{ampicillin},milligrams of the named component
Squirt,{squirt},count of squirts; no UCUM concept
milli-units/kg/min,10*-3.[U]/kg/min,milliunits per kilogram per minute
mg (elemental),mg{elemental},milligrams of the elemental component
Package,{package},count of packages; no UCUM concept
oz,[oz_av],ounce; UCUM concept 9373
mcg/m2/dose,ug/m2/{dose},microgram per square metre per dose
Units/mL,[U]/mL,units per millilitre; UCUM concept 8763
Container,{container},count of containers; no UCUM concept
Int'l Units/day,[iU]/d,international units per day
Inhalation,{inhalation},count of inhalations; no UCUM concept
Scoop,{scoop},count of scoops; no UCUM concept
Pump,{pump},count of pump actuations; no UCUM concept
mg/hr PCA,mg/h,milligram per hour; PCA names the pump mode
mg/day,mg/d,milligram per day
Act,{actuat},"count of actuations; no UCUM concept; reconciled 2026-09-14 with reference/units/common.csv, which owns this spelling"
mL/24hr,mL/(24.h),millilitre per day
mg/kg/dose of ampicillin,mg{ampicillin}/kg/{dose},component milligrams per kilogram per dose
mEq/kg/24hr,10*-3.eq/kg/(24.h),milliequivalent per kilogram per day
mg/kg/24hr of amoxicillin,mg{amoxicillin}/kg/(24.h),component milligrams per kilogram per day
mg/kg/dose of amoxicillin,mg{amoxicillin}/kg/{dose},component milligrams per kilogram per dose
milli-units,10*-3.[U],milliunits
mg of DAUNOrubicin,mg{daunorubicin},milligrams of the named component
mcg/puff,ug/{puff},microgram per puff
mg of codeine,mg{codeine},milligrams of the named component
mg of base,mg{base},"milligrams of the base, not the salt"
mg/mL,mg/mL,milligram per millilitre; UCUM concept 8861
mcg/kg/24hr,ug/kg/(24.h),microgram per kilogram per day
g/day,g/d,gram per day
Piece,{piece},count of pieces; no UCUM concept
mcg/day,ug/d,microgram per day
mg/kg/dose of elemental calcium,mg{elemental_calcium}/kg/{dose},elemental milligrams per kilogram per dose
g/m2/24hr,g/m2/(24.h),gram per square metre per day
mg PE/kg,mg{PE}/kg,phenytoin-equivalent milligrams per kilogram
mg PE,mg{PE},phenytoin-equivalent milligrams (fosphenytoin)
Capful,{capful},count of capfuls; no UCUM concept
mg of hydrocodone,mg{hydrocodone},milligrams of the named component
m,m,"metre: walk distances declared for pft_values, and 20 dose rows"
mg/m2/dose of DAUNOrubicin,mg{daunorubicin}/m2/{dose},component milligrams per square metre per dose
mg (elemental)/kg/dose,mg{elemental}/kg/{dose},elemental milligrams per kilogram per dose
Needle,{needle},count of needles; no UCUM concept
mEq/kg/hr,10*-3.eq/kg/h,milliequivalent per kilogram per hour
fluid ounce,[foz_us],fluid ounce; UCUM concept 9304
VWF RCo Units,[U]{VWF_RCo},von Willebrand factor ristocetin cofactor units
mg of imipenem,mg{imipenem},milligrams of the named component
Billion Cells,10*9{cells},cell count in billions (cell therapies)
mg of trifluridine,mg{trifluridine},milligrams of the named component
mcg/mL,ug/mL,microgram per millilitre; UCUM concept 8859
mg/kg/24hr of elemental iron,mg{elemental_iron}/kg/(24.h),elemental milligrams per kilogram per day
mcg/hr PCA,ug/h,microgram per hour; PCA names the pump mode
mg/kg/24hr of elemental calcium,mg{elemental_calcium}/kg/(24.h),elemental milligrams per kilogram per day
Int'l Units/kg/dose,[iU]/kg/{dose},international units per kilogram per dose
Units/day,[U]/d,units per day
doses/hour,{dose}/h,doses per hour (PCA lockout)
Swab,{swab},count of swabs; no UCUM concept
milli-units/kg/hr,10*-3.[U]/kg/h,milliunits per kilogram per hour
Cartridge,{cartridge},count of cartridges; no UCUM concept
mg (elemental)/day,mg{elemental}/d,elemental milligrams per day
mg PE/kg/day,mg{PE}/kg/d,phenytoin-equivalent milligrams per kilogram per day
Units/kg/24hr,[U]/kg/(24.h),units per kilogram per day
mL/min,mL/min,millilitre per minute; UCUM concept 8795
mL pass volume,mL,"millilitres; pass volume names the procedure, not the unit"
Ring,{ring},count of vaginal rings; no UCUM concept
Doses/Fill,{dose}/{fill},doses per fill
Intra Uterine Device,{device},count of devices; no UCUM concept
mL bag volume,mL,"millilitres; bag volume names the container, not the unit"
Gallon,[gal_us],gallon; UCUM concept 9515
Bar,{bar},count of bars; no UCUM concept
mg/kg/dose of imipenem,mg{imipenem}/kg/{dose},component milligrams per kilogram per dose
L/m2,L/m2,litre per square metre; UCUM concept 32963
dropperette,{dropperette},count of dropperettes; no UCUM concept
Int'l Units/min,[iU]/min,international units per minute
Canister,{canister},count of canisters; no UCUM concept
microcurie,uCi,radioactivity; the vocabulary has no microcurie concept
minutes,min,minutes; UCUM concept 8550
nanograms,ng,nanogram; UCUM concept 9600
g of amino acid,g{amino_acid},grams of the named component
mL/m2,mL/m2,millilitre per square metre (the vocabulary spells its concept 32739 ml/m2)
Stocking (2 stockings = 2 each = a pair),{stocking},count of stockings; no UCUM concept
mL/mL,mL/mL,millilitre per millilitre; UCUM concept 45891033
Box,{box},count of boxes; no UCUM concept
Units/oz/day,[U]/[oz_av]/d,units per ounce per day
L/mL,L/mL,litre per millilitre as written; no concept
IR/L,{IR}/L,index of reactivity per litre (allergen extracts)
Million Cells,10*6{cells},cell count in millions
mg/L,mg/L,milligram per litre; UCUM concept 8751
Lipoprotein Lipase Releasing Unit,[U]{LPL_releasing},heparin lipoprotein-lipase-releasing units
ng/kg,ng/kg,nanogram per kilogram; UCUM concept 9602
mg/kg/dose of hydrocodone,mg{hydrocodone}/kg/{dose},component milligrams per kilogram per dose
L/100 mL,L/dL,litre per 100 millilitres is litre per decilitre
Int'l Units/L,[iU]/L,international units per litre; UCUM concept 8923
1e11 Vector Genomes/kg,10*11{vector_genomes}/kg,gene therapy dose per kilogram
MBq,MBq,megabecquerel; UCUM concept 45891007
1e12 Vector Genomes/kg,10*12{vector_genomes}/kg,gene therapy dose per kilogram
1e11 Vector Genomes/mL,10*11{vector_genomes}/mL,gene therapy concentration
L/kg,L/kg,litre per kilogram; UCUM concept 9542
mL/hr PCA,mL/h,millilitre per hour; PCA names the pump mode
pg,pg,picogram; UCUM concept 8564
1e11 Vector Genomes,10*11{vector_genomes},gene therapy dose
Lancet,{lancet},count of lancets; no UCUM concept
mg/kg/dose of ceftazidime,mg{ceftazidime}/kg/{dose},component milligrams per kilogram per dose
L/day,L/d,litre per day
mg/1.7m2,mg/{1.7_m2},milligram per 1.7 square metres of body surface
vaginal insert,{insert},count of inserts; no UCUM concept
ng/min,ng/min,nanogram per minute
mg of ceftazidime,mg{ceftazidime},milligrams of the named component
mEq/day,10*-3.eq/d,milliequivalent per day
g/kg/24hr,g/kg/(24.h),gram per kilogram per day
kcal/30 mL,kcal/(30.mL),kilocalories per 30 millilitres (formula concentration)
Million Int'l Units/hr,10*6.[iU]/h,million international units per hour
Drop/m2,[drp]/m2,drops per square metre
Tbsp,[tbs_us],tablespoon; UCUM concept 9412
mg (elemental)/kg/24hr,mg{elemental}/kg/(24.h),elemental milligrams per kilogram per day
Pad,{pad},count of pads; no UCUM concept
mg of cabotegravir,mg{cabotegravir},milligrams of the named component
mg of ceftolozane,mg{ceftolozane},milligrams of the named component
x 10E3,10*3/uL,"thousand, with the denominator left off: one WBC row whose value is in thousands like every other WBC spelling in the same column (2026-09-14)"
mg of elemental zinc,mg{elemental_zinc},"milligrams of the elemental component (1,160 order rows)"
mg of piperacillin,mg{piperacillin},milligrams of the named component (861 order rows)
zzbag,{bag},"count of bags under the retired zz spelling (7 rows); the loader keys on the spelling, so it needs its own row"
zzcartridge,{cartridge},count of cartridges under the retired zz spelling (6 rows)
Piece of gum,{piece},"count of pieces, of gum (1 row); a separate spelling from Piece"
Product,{product},"count of the dispensed product (2 rows); an Epic dose-unit entry naming the item, not a measure"
Part,{part},"count of parts of a kit (1 row); an Epic dose-unit entry naming the item, not a measure"
